"field_name","field_description"
"\"MaxTemperatureRamp\",\"The maximum rate at which the spectrophotomer can change temperature.\""
"\"MaxTemperature\",\"Indicates the maximum temperature rating for the cap.\""
"\"MaxTemperature\",\"Indicates the maximum temperature rating for the plate seal.\""
"\"MaxTemperature\",\"Maximum temperature at which the Sonicator can incubate.\""
"\"MaxTemperature\",\"Maximum temperature at which the device can incubate.\""
"\"MaxTemperature\",\"Maximum temperature at which the evaporator can incubate.\""
"\"MaxTemperature\",\"Maximum temperature at which the heat block can incubate.\""
"\"MaxTemperature\",\"Maximum temperature at which the plate reader can incubate.\""
"\"MaxTemperature\",\"Maximum temperature at which the roller can incubate.\""
"\"MaxTemperature\",\"Maximum temperature at which the shaker can incubate.\""
"\"MaxTemperature\",\"Maximum temperature at which the spectrophotometer can incubate.\""
"\"MaxTemperature\",\"Maximum temperature at which the vacuum centrifuge can incubate samples.\""
"\"MaxTemperature\",\"Maximum temperature at which the vortex can incubate.\""
"\"MaxTemperature\",\"Maximum temperature that the centrifuge can be set to maintain.\""
"\"MaxTemperature\",\"Maximum temperature the autoclave can reach.\""
"\"MaxTemperature\",\"Maximum temperature the incubator can maintain.\""
"\"MaxTemperature\",\"Maximum temperature the instrument can perform a measurement at.\""
"\"MaxTemperature\",\"Maximum temperature the probe can perform a measurement at.\""
"\"MaxTemperature\",\"Maximum temperature the recirculating pump can provide.\""
"\"MaxTemperature\",\"Maximum temperature the thermocycler can reach.\""
"\"MaxTemperature\",\"Maximum temperature this plumbing component can be exposed to and maintain structural integrity.\""
"\"MaxTemperature\",\"Maximum temperature this type of container can be exposed to and maintain structural integrity.\""
"\"MaxTemperature\",\"Maximum temperature used to heat an adhesive membrane placed over an assay plate.\""
"\"MaxTemperature\",\"The largest temperature value the thermometer inside the instrument is able to detect as described by the instrument manufacturer in its product documentation. The temperature measurements are taken at the same time as surface tension measurements.\""
"\"MaxTemperature\",\"The maximum temperature at which the sample may be held in instruments of this model during its heating/cooling cycle.\""
"\"MaxTemperature\",\"The maximum temperature at which the spectrophotometer can incubate.\""
"\"MaxTemperature\",\"The maximum temperature at which this SPME fiber may be used before it begins to degrade.\""
"\"MaxTemperature\",\"The maximum temperature at which this bar can handle.\""
"\"MaxTemperature\",\"The maximum temperature at which this column can function.\""
"\"MaxTemperature\",\"The maximum temperature at which this membrane can handle.\""
"\"MaxTemperature\",\"The maximum temperature for which this septum is rated.\""
"\"MaxTemperature\",\"The maximum temperature that the instrument can control.\""
"\"MaxTemperature\",\"The maximum temperature that this O-ring can withstand before it begins to degrade.\""
"\"MaxTemperature\",\"The maximum temperature that this liner can withstand.\""
"\"MaxTemperature\",\"The maximum temperature the Freezer can maintain.\""
"\"MaxTemperature\",\"The maximum temperature the vertical lift can maintain.\""
"\"MaxTemperature\",\"The maximum water temperature that the dishwasher can use to clean labware.\""
"\"MaxThawTemperature\",\"Maximum temperature at which the water bath can operate, used during the thaw step of freeze-pump-thaw.\""
"\"MaxThawTime\",\"The default maximum time that samples of this model should be thawed before using in experimentation.\""
"\"MaxTheta\",\"The maximum 2theta scattering angle that can be measured by this model of instrument.\""
"\"MaxTime\",\"The maximum duration for which the centrifuge can be continuously run.\""
"\"MaxTotalOrganicContent\",\"Maximum acceptable total organic content of the purified water.\""
"\"MaxVacuumPressure\",\"Minimum absolute pressure (zero-referenced against perfect vacuum) that the vacuum pump used for vacuum degassing can achieve.\""
"\"MaxViscosity\",\"The maximum viscosity that can be measured with the instrument.\""
"\"MaxVoltageSteps\",\"Maximum number of steps in voltage profiles that can be applied on instrument.\""
"\"MaxVoltage\",\"Maximum voltage that can be applied by instrument.\""
"\"MaxVoltage\",\"Maximum voltage that can be applied during sample separation.\""
"\"MaxVoltage\",\"Maximum voltage that can be applied for this ExperimentType.\""
"\"MaxVoltage\",\"The maximum voltage that can be applied to the capillary array during priming, injection, or running the experiment.\""
"\"MaxVoltage\",\"The maximum voltage this instrument uses to generate the diffracting radiation.\""
"\"MaxVolume\",\"Maximum amount of volume the pipette can transfer.\""
"\"MaxVolume\",\"Maximum volume of each sample that can be loaded into the capillary ELISA cartridge plate for ELISA experiment.\""
"\"MaxVolume\",\"Maximum volume of fluid the vessel can hold.\""
"\"MaxVolume\",\"Maximum volume this model of bottle top dispenser can dispense.\""
"\"MaxVolume\",\"The maximum amount of solution that can be processed by the filter.\""
"\"MaxVolume\",\"The maximum volume of liquid that can be filtered at once using this model of filter.\""
"\"MaxVolume\",\"The maximum volume that each pipette tip can transfer.\""
"\"MaxVolume\",\"The maximum volume that the liquid handler can transfer.\""
"\"MaxVolumes\",\"For each member of Positions, the largest amount of fluid the well can hold.\""
"\"MaxWashVolume\",\"The maximum volume that the autosampler is capable of using to wash between one sample and the next.\""
"\"MaxWavelength\",\"The maximum wavelength (in nm) at which the instrument is able to operate.\""
"\"MaxWeight\",\"Maximum mass the instrument can weigh.\""
"\"MaxWeight\",\"The maximum mass that can be measured and dispensed by this model of instrument.\""
"\"MaxWeight\",\"The maximum weight of a plate that the non replaceable rotor bucket can take during centrifugation.\""
"\"MaxWellVolume\",\"The maximum volume of sample that can be loaded into each well of the gel.\""
"\"MaxpHFlowCellTemperature\",\"The maximum temperature at which the pH flow cell of the instrument's pH detector can operate.\""
"\"MaxpH\",\"Maximum pH the instrument can operate under.\""
"\"MaxpH\",\"The maximum pH the column can handle.\""
"\"MaxpH\",\"The maximum pH the membrane can handle.\""
"\"MaxpH\",\"The maximum pH to which the cartridge can be exposed without becoming damaged.\""
"\"MaxpHs\",\"For each member of Probes, the maximum pH the probe can measure.\""
"\"MeasurementChipMaxTemperature\",\"Maximum temperature at which the viscometer can hold the samples during viscosity measurements in the measurement chip.\""
"\"MeasurementChipMinTemperature\",\"Minimum temperature at which the viscometer can hold the samples during viscosity measurements in the measurement chip.\""
"\"MeasurementTime\",\"The amount of time it takes the instrument to measure a 96-well plate as described by the instrument manufacturer in its product documentation.\""
"\"MeasurementTime\",\"The total amount of time taken for the instrument to return an osmolality reading after the sample is loaded into the instrument.\""
"\"MeasuringDevices\",\"The model of graduated cylinder containers used to measure dispensed volume.\""
"\"MeasuringWavelength\",\"The specific wavelength that the instrument uses to measure the refractive index.\""
"\"MeltingPoint\",\"Melting temperature of the pure substance at atmospheric pressure.\""
"\"MembraneArea\",\"The area of dialysis membranes separating the two wells.\""
"\"MembraneDiameter\",\"The diameter of the filter membrane compatible with this type housing.\""
"\"MembraneLength\",\"The length of the dialysis membrane.\""
"\"MembraneMaterial\",\"The chemistry of the material used to filter the sample.\""
"\"MembraneMaterial\",\"The material of the filter membrane through which the sample travels to remove particles.\""
"\"MembraneMaterial\",\"The material of the filter through which the sample travels to remove particles.\""
"\"MembraneMaterial\",\"The material of the membrane which the particles diffuse across.\""
"\"MicroscopeCalibration\",\"Indicates if the microscope can be calibrated by running a maintenance protocol.\""
"\"MicrowaveSafe\",\"Indicates if the cap can be used for microwave synthesis or digestion.\""
"\"MicrowaveSafe\",\"Indicates if this part can be safely used in a microwave or microwave reactor.\""
"\"MinAbsorbanceWavelength\",\"The minimum wavelength at which the instrument can take absorbance readings.\""
"\"MinAbsorbanceWavelength\",\"The minimum wavelength of light from which the instrument's detector can measure an absorbance value.\""
"\"MinAbsorbanceWavelength\",\"The minimum wavelength that the absorbance detector can measure.\""
"\"MinAbsorbanceWavelength\",\"The minimum wavelength that the absorbance detector can monitor.\""
"\"MinAbsorbanceWavelength\",\"The minimum wavelength that the detector's monochromator can be set to for absorbance filtering.\""
"\"MinAbsorbance\",\"The minimum 10 mm-equivalent absorbance that this model instrument can read within a manufacturer reported linear range.\""
"\"MinAbsorbance\",\"The minimum absorbance that this model instrument can read within a manufacturer reported linear range.\""
"\"MinAcceleratingVoltage\",\"The minimum voltage the instrument can apply to the target plate to accelerate the ions.\""
"\"MinAcceleration\",\"The minimum flow rate acceleration at which the pumping speed can be increased for this model of instrument.\""
"\"MinAntiStokesScatteringFrequency\",\"The lowest energy anti-Stokes scattering that the detector is capable of recording, reported as the Raman shift.\""
"\"MinArgonPressure\",\"Minimum argon gas pressure measured at the inlet required by the instrument during operation.\""
"\"MinAssayVolume\",\"Minimal assay volume for capillary electrophoresis.\""
"\"MinAuxillaryGasFlowRate\",\"Minimum flow rate of argon gas to generate plasma.\""
"\"MinBackPressure\",\"The minimum pressure before waste outlet -- affects the density of the mobile phase and the flow split to the mass spectrometer.\""
"\"MinBufferVolume\",\"The minimum amount of wash buffer required for running capillary ELISA experiment on this cartridge model.\""
"\"MinCO2Pressure\",\"The minimum CO2 source pressure supplied into the instrument acceptable for operation.\""
"\"MinCO2\",\"Minimum Carbon dioxide percentage the incubator can maintain.\""
"\"MinCameraHeight\",\"The minimum height along the foam column at which the camera used by the Foam Imaging Module can be positioned during the experiment.\""
"\"MinCapillaryTemperature\",\"The minimum temperature that the capillary array can reach during an experiment.\""
"\"MinCarbonDioxideLevel\",\"Minimum level of carbon dioxide in the atmosphere inside the plate reader that can be maintained.\""
"\"MinCollisionCellGasFlowRate\",\"Minimum flow rate of gas that can be delivered to the collision cell.\""
"\"MinCollisionCellGasPressure\",\"Minimum CollisionCellGas pressure measured at the inlet required by the instrument during operation.\""
"\"MinCollisionCellLensVoltage\",\"Minimum voltage applied in the collision cell to focus ionized sample particles.\""
"\"MinCollisionEnergy\",\"For the Mass Spectrometer that has tandem mass spectrometry feature, this value indicate the lowest value of voltage that could be applied to the collision cell.\""
"\"MinColumnDiameter\",\"The minimum inner column diameter of the foam column that can be fitted on this foam agitation module.\""
"\"MinColumnOvenTemperature\",\"The minimum temperature at which the column oven can incubate.\""
"\"MinColumnTemperature\",\"The minimum temperature at which the column oven can incubate.\""
"\"MinConductivityFlowCellTemperature\",\"The minimum temperature at which the conductivity flow cell of the instrument's conductivity detector can operate.\""
"\"MinConductivity\",\"The minimum conductivity that the conductivity detector of this instrument can measure.\""
"\"MinConeGasFlow\",\"The minimum nitrogen gas flow ejected around the sample inlet cone to encourage solvent cluster evaporation.\""
"\"MinContactModeMeasurement\",\"The minimal detection value (in RPMs) for the contact sensor tachometer.\""
"\"MinCoolGasFlowRate\",\"Minimum flow rate of argon gas to cool the wall of torch .\""
"\"MinCoolingRate\",\"The slowest decrease in temperature that can be achieved per unit time.\""
"\"MinCouplingFluidVolume\",\"The minimum volume of the coupling fluid in the reservoir required by the acoustic liquid handler to dispense the samples accurately.\""
"\"MinCycleTime\",\"Minimum time the autoclave can run for.\""
"\"MinCyclicVoltammetryPotential\",\"Indicates the minimum negative voltage / potential that the instrument can provide to the working electrode when performing cyclic voltammetry measurements.\""
"\"MinDLSHydrodynamicRadius\",\"The minimum hydrodynamic radius of the analyte molecule that the Dynamic Light Scattering (DLS) detector of the instrument can detect.\""
"\"MinDeclusteringVoltage\",\"Minimum voltage that indicates the voltage between the ion block (the reduced-pressure chamber of the source block) and the stepwave ion guide (the optics before the quadrupole mass analyzer) for ESI-QTOF; Or the voltage applied between the orifice (where ions enter the mass spectrometer) and the ion guide to prevent the ionized small particles from aggregating together for ESI-QQQ.\""
"\"MinDelayTime\",\"The minimum delay between laser ablation and ion extraction accepted by the instrument.\""
"\"MinDeliveryPressure\",\"The minimum pressure at which the gas regulator delivers the gas from the gas source into the Schlenk manifold.\""
"\"MinDensity\",\"Minimum density the instrument can measure.\""
"\"MinDepth\",\"The minimum required z distance that the probe needs to be submerged for the measurement.\""
"\"MinDepths\",\"For each member of Probes, the minimum required z distance that the probe needs to be submerged for measurement.\""
"\"MinDesolvationGasFlow\",\"The minimum nitrogen gas flow ejected around the ion source capillary to encourage solvent evaporation.\""
"\"MinDesolvationTemperature\",\"The minimum temperature setting for the source desolvation heater that controls the nitrogen gas temperature used for solvent cluster evaporation before ions enter the mass spectrometer through the sampling cone.\""
"\"MinDetectionTemperature\",\"The minimum temperature at which the detector can incubate.\""
"\"MinDetectionVoltage\",\"The minimum potential different that the electrochemical detector can supply.\""
"\"MinDetectorDistance\",\"The minimum distance the detector can be from the sample.\""
"\"MinDetectorpH\",\"The minimum pH to which the pH detector of this instrument can measure.\""
"\"MinDissolvedOxygen\",\"Minimum concentration of dissolved oxygen the instrument can measure.\""
"\"MinDistance\",\"The minimum liquid level distance that can be measured by this model of instrument.\""
"\"MinDuration\",\"Minimum length of time that can be used to seal a plate.\""
"\"MinESICapillaryVoltage\",\"Minimum voltage that can be applied to the stainless steel capillary from which the ion spray is generated.\""
"\"MinEmissionWavelength\",\"The minimum wavelength at which the fluorescence detector can take emission readings.\""
"\"MinEmissionWavelength\",\"The minimum wavelength at which the instrument can take emission readings.\""
"\"MinExcitationWavelength\",\"The minimum wavelength at which the fluorescence detector can excite the sample.\""
"\"MinExcitationWavelength\",\"The minimum wavelength at which the instrument can excite the sample.\""
"\"MinExposureTime\",\"The minimum amount of time for which a camera shutter can stay open when acquiring an image.\""
"\"MinExtractionLensVoltage\",\"Minimum voltage applied on ion lens to defract the beam and separate ionized particles from neutral ones, where the neutral ones collide on wall, while ionized particles continues into the instrument flow path. This concept is analogous to the step wave guide in QTOF.\""
"\"MinFilterDiameter\",\"The minimum diameter of the sparge filter that can be cleaned on this cleaner.\""
"\"MinFlowCellpH\",\"The minimum pH value that the electrochemical detector can monitor.\""
"\"MinFlowPressure\",\"The minimum pressure at which the instrument can operate.\""
"\"MinFlowRate\",\"Minimum flow rate the flow regulator can manage that controls the amount of gas flowing through the SchlenkLine, which in turn controls the pressure of gas that can be used for sparging.\""
"\"MinFlowRate\",\"Minimum flow rate the flow regulator can manage.\""
"\"MinFlowRate\",\"Minimum rate at which the dialyzer can circulate the dialysate.\""
"\"MinFlowRate\",\"The minimum flow rate at which the cartridge performs.\""
"\"MinFlowRate\",\"The minimum flow rate at which the column performs.\""
"\"MinFlowRate\",\"The minimum flow rate at which the instrument can inject sample into the measurement channel.\""
"\"MinFlowRate\",\"The minimum flow rate at which the instrument can pump Buffer through the system.\""
"\"MinFlowRate\",\"The minimum flow rate at which the instrument can pump CO2 and cosolvents through the system.\""
"\"MinFlowRate\",\"The minimum flow rate at which the instrument can pump buffer through the system.\""
"\"MinFlowRate\",\"The minimum flow rate of tips when aspirating or dispensing.\""
"\"MinFluorescenceFlowCellTemperature\",\"The minimum temperature that the temperature of the fluorescence flow cell of the instrument's fluorescence detector can be set to.\""
"\"MinFocusLensVoltage\",\"Minimum voltage applied on ion lens to tighten the ionized particle beam.\""
"\"MinGridVoltage\",\"The minimum voltage the instrument can apply to the the grid eletrode.\""
"\"MinHumidity\",\"Minimum relative humidity the incubator can maintain.\""
"\"MinHumidity\",\"The minimum relative humidity at which the acoustic liquid handler can perform the sample transfer.\""
"\"MinIncubationTemperature\",\"The minimum temperature at which the autosampler can hold a plate while it is being processed.\""
"\"MinInfusionFlowRate\",\"The minimum flow rate at which the instrument can pump buffer or sample into the system via the built-in syringe pump system.\""
"\"MinInjectionRate\",\"The minimum rate at which the autosampler can inject sample into the flow path.\""
"\"MinInjectionVolume\",\"The minimum volume of sample that can be injected into instruments of this model.\""
"\"MinIonGuideVoltage\",\"Minimum voltage that can be applied on the Ion guide to guides and focuses the ions through the high-pressure Ion guid region, this parameter is also labeled as Entrance Potential (EP).\""
"\"MinIsoelectricPointCIEF\",\"Minimum pI analyte in linear range for the instrument.\""
"\"MinLaserModeDetectionDistance\",\"The mimimum detection range (in millimeters) of the laser sensor tachomter.\""
"\"MinLaserModeMeasurement\",\"The minimal detection value (in RPMs) for the laser sensor tachometer.\""
"\"MinLensVoltage\",\"The minimum voltage that can be applied to the ion focusing lens located at the entrance of the mass analyser.\""
"\"MinLightScatteringFlowCellTemperature\",\"The minimum temperature that the temperature of the flow cell of the instrument's Multi-Angle static Light Scattering (MALS) and Dynamic Light Scattering (DLS) detector can be set to.\""
"\"MinMALSGyrationRadius\",\"The minimum radius of gyration of the analyte molecule that the Multi-Angle static Light Scattering (MALS) detector of the instrument can detect.\""
"\"MinMALSMolecularWeight\",\"The minimum molecular weight of the analyte molecule that the Multi-Angle static Light Scattering (MALS) detector of the instrument can detect.\""
"\"MinMakeupFlowRate\",\"The minimum flow rate at which the instrument can pump buffer through the system.\""
"\"MinMass\",\"The lowest value of mass-to-charge ratio (m/z) the instrument can detect.\""
"\"MinMeasurableConductivity\",\"The smallest amount of electrical conductivity that the detector can measure reliably.\""
"\"MinMeasurableIntensity\",\"The minimum measurable intensity (in µW/cm^2) of the instrument.\""
"\"MinMeasurableTemperature\",\"The lowest temperature that the detector can measure reliably.\""
"\"MinMolecularWeightCESDS\",\"Minimum molecular weight analyte in linear range for the instrument.\""
"\"MinMolecularWeight\",\"Minimum molecular weight analyte the instrument can detect.\""
"\"MinMonochromator\",\"Monochromator minimum wavelength for absorbance filtering.\""
"\"MinNebulizerGasFlowRate\",\"Minimum flow rate of argon gas to deliver and aerosolize liquid input sample.\""
"\"MinOperatingTemperature\",\"The minimum temperature at which the osmometer is capable of producing a reliable osmolality measurement.\""
"\"MinOperationTemperature\",\"Indicates the minimum operation temperature in the surrounding space for this electrochemical reactor model.\""
"\"MinOperationalRelativeHumidity\",\"The minimum relative humidity (in percent) at which the instrument is able to operate at.\""
"\"MinOperationalTemperature\",\"The minumum temperature (in Celsius) at which the instrument is able to operate at.\""
"\"MinOscillationAngle\",\"Minimum angle (in degrees) of oscillation that can occur when wrist-action shaking.\""
"\"MinOsmolality\",\"The minimum osmolality that the instrument is capable of measuring.\""
"\"MinOxygenLevel\",\"Minimum level of oxygen in the atmosphere inside the plate reader that can be maintained.\""
"\"MinParticleSize\",\"Minimum particle size the instrument can detect. Additional constraints can be placed by the light obscuration sensor.\""
"\"MinPlateHeight\",\"The minimum plate height of the destination plate that is supported by the acoustic liquid handler.\""
"\"MinPoreSize\",\"The minimum pore size of this model of filter, through which gas will be bubbled.\""
"\"MinPotentialSweepRate\",\"Indicates the minimum potential sweep rate (how fast the potential is scanned) the instrument can provide when performing cyclic voltammetry measurements.\""
"\"MinPotential\",\"The minimum (negative) voltage that can be applied to this electrode model.\""
"\"MinPressure\",\"Minimum amount of pressure the Autoclave can provide.\""
"\"MinPressure\",\"Minimum internal pressure the desiccator can withstand (as designated by its pressure gauge).\""
"\"MinPressure\",\"Minimum pressure that can be tolerated by this plumbing component without deformation.\""
"\"MinPressure\",\"The minimum pressure at which the instrument can operate. Set by manufacturer software limits.\""
"\"MinPressure\",\"The minimum pressure at which the instrument can operate.\""
"\"MinPressure\",\"The minimum pressure the cartridge can handle during chromatography experiments.\""
"\"MinPressure\",\"The minimum pressure the column can handle during chromatography experiments.\""
"\"MinQuadrupoleBiasVoltage\",\"Minimum DC voltage in the quadrupole mass analyzer used to select ions of the target m/z ratio matching the Elements field.\""
"\"MinRecommendedWavelength\",\"The wavelength below which insufficient transmission occurs for most spectroscopic experiments performed using this cuvette.\""
"\"MinRefractiveIndexFlowCellTemperature\",\"The minimum temperature that the temperature of the flow cell of the instrument's differential refractive index (dRI) detector can be set to.\""
"\"MinRefractiveIndex\",\"The smallest possible measurement of the refractive index on the instrument.\""
"\"MinResistanceMeasurement\",\"The manufacturer's reported minimum resistance that can be recorded by the liquid conductivity sensors.\""
"\"MinResistivity\",\"Minimum acceptable resistivity of the purified water.\""
"\"MinRotationRate\",\"Minimum speed at which the vortex can spin samples.\""
"\"MinRotationRate\",\"Minimum speed the instrument can rotate at.\""
"\"MinRotationRate\",\"Minimum speed the instrument can shake at.\""
"\"MinRotationRate\",\"The minimum number of shaking revolutions that the the instrument can complete in a minute.\""
"\"MinRotationRate\",\"The minimum rotational speed at which the centrifuge can operate.\""
"\"MinRotationRate\",\"The slowest rotational speed at which the instrument rollers can operate.\""
"\"MinSampleConcentration\",\"The minimum sample concentration of a reference sample the spectrophotometer can measure.\""
"\"MinSampleMass\",\"The minimum mass of analyte that can be loaded into the column.\""
"\"MinSampleMass\",\"The minimum mass of solid sample that can be loaded into the instrument through a solid sample cartridge. Set by the lowest mass of sample that can be manipulated into a solid sample cartridge.\""
"\"MinSampleTemperature\",\"Minimum temperature instrument can incubate sample.\""
"\"MinSampleTemperature\",\"The minimum possible temperature of the chamber where the samples are stored. Null indicates that temperature control for the sample chamber is not possible.\""
"\"MinSampleTemperature\",\"The minimum possible temperature of the chamber where the samples are stored.\""
"\"MinSampleVolume\",\"Minimum sample volume including dead volume of sample required to provide the instrument with enough of volume to measure particle count.\""
"\"MinSampleVolume\",\"The minimum required sample volume needed for instrument measurement.\""
"\"MinSampleVolume\",\"The minimum required sample volume to measure the refractive index.\""
"\"MinSampleVolume\",\"The minimum sample volume required for a single run.\""
"\"MinSampleVolume\",\"The minimum sample volume that is required in order to run a dynamic foam analysis experiment using this column.\""
"\"MinSampleVolume\",\"The minimum volume of liquid sample that can be loaded by injection into the instrument. Set by the lowest volume that can reasonably be injected into the sample injection assembly by a compatible syringe.\""
"\"MinSampleVolume\",\"The minimum volume of sample that the autosampler is capable of injecting.\""
"\"MinSampleVolume\",\"The minimum volume of sample that the instrument is capable of performing an osmolality measurement on.\""
"\"MinSampleVolume\",\"The minimum volume that can be loaded on a single injection.\""
"\"MinSampleVolumes\",\"For each member of Probes, the minimum required sample volume needed for instrument measurement.\""
"\"MinSamplingConeVoltage\",\"Minimum voltage that can be applied as voltage offset between the 1st and 2nd stage of the ion guide.\""
"\"MinShots\",\"The minimum number of laser shots that can be fired at each spot.\""
"\"MinSourcePressure\",\"The minimum pressure at which the gas regulator delivers the gas out of the manifold into the channels.\""
"\"MinSourceTemperature\",\"The minimum temperature setting for the source block (the reduced pressure chamber holding the sample cone through which the ions travel on their way to the mass analyzer).\""
"\"MinSpectrometerSamplingRate\",\"Minimum frequency that the mass spectrometer can measure for each selected ion.\""
"\"MinSprayChamberTemperature\",\"Minimum temperature setting in the nebulizer spray chamber.\""
"\"MinStepwaveVoltage\",\"Minimum voltage that between the 1st and 2nd stage of the ion guide which leads ions coming from the sample cone towards the quadrupole mass analyzer.\""
"\"MinStirBarRotationRate\",\"Minimum speed the instrument can rotate a stir bar.\""
"\"MinStirRate\",\"The slowest rotational speed at which the integrated stir plate can operate.\""
"\"MinStirringSpeed\",\"Indicates the minimum stirring speed (revolutions per minute) this electrochemical reactor model can provide.\""
"\"MinStokesScatteringFrequency\",\"The lowest energy Stokes scattering that the detector is capable of recording, reported as the Raman shift.\""
"\"MinSurfaceModeMeasurement\",\"The minimal detection value (in meters/min) for the surface sensor tachometer.\""
"\"MinSurfaceTensionMeasurement\",\"The smallest surface tension value the instrument is able to detect as described by the instrument manufacturer in its product documentation.\""
"\"MinSyringeFlowRate\",\"The minimum flow rate of syringe when aspirating or dispensing.\""
"\"MinTemperatureControl\",\"Minimum temperature at which this instrument model can perform thermal incubation while imaging.\""
"\"MinTemperatureRampRate\",\"The slowest rate at which the temperature of a given sample can change in the course of a heating/cooling cycle for instruments of this model.\""
"\"MinTemperatureRamp\",\"Minimum rate at which the thermocycler can change temperature.\""
"\"MinTemperatureRamp\",\"The minimum rate at which the spectrophotometer can change temperature.\""
"\"MinTemperature\",\"Indicates the minimum temperature rating for the plate seal.\""
"\"MinTemperature\",\"Minimum temperature at which the Sonicator can incubate.\""
"\"MinTemperature\",\"Minimum temperature at which the device can incubate.\""
"\"MinTemperature\",\"Minimum temperature at which the evaporator can incubate.\""
"\"MinTemperature\",\"Minimum temperature at which the heat block can incubate.\""
"\"MinTemperature\",\"Minimum temperature at which the plate reader can incubate.\""
"\"MinTemperature\",\"Minimum temperature at which the roller can incubate.\""
"\"MinTemperature\",\"Minimum temperature at which the shaker can incubate.\""
"\"MinTemperature\",\"Minimum temperature at which the spectrophotometer can incubate.\""
"\"MinTemperature\",\"Minimum temperature at which the vacuum centrifuge can incubate samples.\""
"\"MinTemperature\",\"Minimum temperature at which the vortex can incubate.\""
"\"MinTemperature\",\"Minimum temperature that the centrifuge can be set to maintain.\""
"\"MinTemperature\",\"Minimum temperature the autoclave can reach.\""
"\"MinTemperature\",\"Minimum temperature the incubator can maintain.\""
"\"MinTemperature\",\"Minimum temperature the instrument can perform a measurement at.\""
"\"MinTemperature\",\"Minimum temperature the probe can perform a measurement at.\""
"\"MinTemperature\",\"Minimum temperature the recirculating pump can provide.\""
"\"MinTemperature\",\"Minimum temperature the thermocycler can reach.\""
"\"MinTemperature\",\"Minimum temperature this plumbing component can be exposed to and maintain structural integrity.\""
"\"MinTemperature\",\"Minimum temperature this type of container can be exposed to and maintain structural integrity.\""
"\"MinTemperature\",\"Minimum temperature used to heat an adhesive membrane placed over an assay plate.\""
"\"MinTemperature\",\"The lowest temperature the instrument can cool samples placed within its rack.\""
"\"MinTemperature\",\"The minimum temperature at which the sample may be held in instruments of this model during its heating/cooling cycle.\""
"\"MinTemperature\",\"The minimum temperature at which the spectrophotometer can incubate.\""
"\"MinTemperature\",\"The minimum temperature at which this SPME fiber is suggested to be used.\""
"\"MinTemperature\",\"The minimum temperature at which this bar can handle.\""
"\"MinTemperature\",\"The minimum temperature at which this column can function.\""
"\"MinTemperature\",\"The minimum temperature at which this membrane can handle.\""
"\"MinTemperature\",\"The minimum temperature that the instrument can control.\""
"\"MinTemperature\",\"The minimum temperature the Freezer can maintain.\""
"\"MinTemperature\",\"The minimum temperature the vertical lift can maintain.\""
"\"MinTemperature\",\"The minimum water temperature that the dishwasher can use to clean labware.\""
"\"MinTemperature\",\"The smallest temperature value the thermometer inside the instrument is able to detect as described by the instrument manufacturer in its product documentation. The temperature measurements are taken at the same time as surface tension measurements.\""
"\"MinThawTemperature\",\"Minimum temperature at which the water bath can operate, used during the thaw step of freeze-pump-thaw.\""
"\"MinTheta\",\"The minimum 2theta scattering angle that can be measured by this model of instrument.\""
"\"MinTotalOrganicContent\",\"Minimum total organic content the purified water can reach.\""
"\"MinVacuumPressure\",\"Minimum absolute pressure (zero-referenced against perfect vacuum) that the vacuum pump used for freeze pump thaw can achieve.\""
"\"MinVacuumPressure\",\"Minimum absolute pressure (zero-referenced against perfect vacuum) that the vacuum pump used for vacuum degassing can achieve.\""
"\"MinViscosity\",\"The minimum viscosity that can be measured with the instrument.\""
"\"MinVoltage\",\"Minimum voltage that can be applied by the instrument.\""
"\"MinVoltage\",\"Minimum voltage that can be applied during sample separation.\""
"\"MinVoltage\",\"Minimum voltage that can be applied for this ExperimentType.\""
"\"MinVoltage\",\"The minimum voltage that can be applied to the capillary array during priming, injection, or running the experiment.\""
"\"MinVolume\",\"Minimum amount of volume the pipette can transfer.\""
"\"MinVolume\",\"Minimum sample volume the instrument can measure.\""
"\"MinVolume\",\"Minimum volume of each sample required to make the diluted sample loaded into the capillary ELISA cartridge plate for ELISA experiment.\""
"\"MinVolume\",\"Minimum volume this model of bottle top dispenser can dispense.\""
"\"MinVolume\",\"The minimum amount of solution that can be processed by the filter.\""
"\"MinVolume\",\"The minimum volume of liquid that can be filtered at once using this model of filter.\""
"\"MinVolume\",\"The minimum volume required to create a uniform layer at the bottom of the container, indicating the smallest volume needed to reliably aspirate from the container, measure spectral properties, etc.\""
"\"MinVolume\",\"The minimum volume that each pipette tip is recommended to transfer accurately.\""
"\"MinVolume\",\"The minimum volume that the liquid handler can transfer accurately.\""
"\"MinVolume\",\"The smallest volume of liquid nitrogen that can be dispensed.\""
"\"MinVolumes\",\"For each member of Positions, the smallest amount of fluid the well can hold.\""
"\"MinWashVolume\",\"The minimum volume that the autosampler is capable of using to wash between one sample and the next.\""
"\"MinWavelength\",\"The minimum wavelength (in nm) at which the instrument is able to operate.\""
"\"MinWeight\",\"Minimum mass the instrument can weigh.\""
"\"MinWeight\",\"The minimum mass that can be measured and dispensed by this model of instrument.\""
"\"MinpHFlowCellTemperature\",\"The minimum temperature at which the pH flow cell of the instrument's pH detector can operate.\""
"\"MinpH\",\"Minimum pH the instrument can operate under.\""
"\"MinpH\",\"The minimum pH the column can handle.\""
